Variety	DTH
Var1	111
Var1	111
Var1	111
Var1	115
Var1	112
Var1	113
Var2	107
Var2	107
Var2	106
Var2	105
Var2	104
Var2	104
Var3	95
Var3	95
Var3	95
Var3	93
Var3	93
Var3	95
Var4	110
Var4	108
Var4	108
Var4	105
Var4	107
Var4	107
Var5	98
Var5	97
Var5	98
Var5	91
Var5	93
Var5	93
Var6	94
Var6	93
Var6	95
Var6	93
Var6	95
Var6	93
Var7	112
Var7	111
Var7	112
Var7	113
Var7	112
Var7	113
Var8	83
Var8	82
Var8	84
Var8	82
Var8	83
Var8	84
